HMI,哈密,哈密机场,哈密机场,1,
HLH,乌兰浩特,乌兰浩特机场,乌兰浩特,1,
HLD,海拉尔,海拉尔东山机场,海拉尔东山,1,
PZI,攀枝花,攀枝花机场,攀枝花,1,
NGB,宁波,宁波栎社机场,宁波栎社,1,
NDG,齐齐哈尔,齐齐哈尔三家子机场,齐齐哈尔三家子,1,
HFE,合肥,合肥骆岗机场,合肥骆岗,1,
HET,呼和浩特,呼和浩特白塔机场,呼和浩特白塔,1,
HEK,黑河,黑河机场,黑河机场,1,
FUG,阜阳,阜阳西关机场,阜阳西关,1,
ENY,延安,延安二十里铺机场,延安二十里铺,1,
ENH,恩施,恩施许家坪机场,恩施许家坪,1,
DYG,张家界,张家界荷花机场,张家界荷花,1,
DOY,东营,东营机场,东营机场,1,
DNH,敦煌,敦煌机场,敦煌机场,1,
DLU,大理,大理机场,大理机场,1,
GOQ,格尔木,格尔木机场,格尔木,1,
GHN,广汉,广汉机场,广汉机场,1,
FYN,富蕴,富蕴可可托托海机场,富蕴可可托托海,1,
DIG,迪庆,香格里拉机场,迪庆机场,1,
DDG,丹东,丹东浪头机场,丹东浪头,1,
DAX,达州,达州河市机场,达州河市,1,
DAT,大同,大同怀仁机场,大同怀仁,1,
CZX,常州,常州奔牛机场,常州奔牛,1,
CSX,长沙,长沙黄花机场,长沙黄花,1,
CNI,长海,长海大长山岛机场,长海大长山岛,1,
CIH,长治,长治王村机场,长治王村,1,
CIF,赤峰,赤峰土城子机场,赤峰土城子,1,
CHW,酒泉,酒泉机场,酒泉机场,1,
CHG,朝阳,朝阳机场,朝阳机场,1,
CGQ,长春,长春龙嘉机场,长春龙嘉,1,
CGO,郑州,郑州新郑机场,郑州新郑,1,
CGD,常德,常德桃花源机场,常德桃花源,1,
BSD,保山,保山机场,保山机场,1,
BPX,昌都,昌都邦达机场,昌都邦达,1,
BHY,北海,北海福城机场,北海福城,1,
BAV,包头,包头二里半机场,包头二里半,1,
AYN,安阳,安阳机场,安阳机场,1,
AQG,安庆,安庆天柱山机场,安庆天柱山,1,
AKU,阿克苏,阿克苏温宿机场,阿克苏温宿,1,
AKA,安康,安康五里铺机场,安康五里铺,1,
AAT,阿勒泰,阿勒泰机场,阿勒泰,1,
YTY,扬州,扬州泰州机场,扬州机场,1,
YZY,张掖,张掖机场,张掖机场,1,
BPL,博乐,博乐机场,博乐机场,1,
YUS,玉树,玉树巴塘机场,玉树巴塘,1,
GYS,广元,广元盘龙机场,广元盘龙,1,
HIJ,广岛,广岛机场,广岛机场,2,
HBA,霍巴特,霍巴特机场,霍巴特机场,2,
CGK,雅加达,雅加达机场,雅加达机场,2,
LGW,伦敦,伦敦机场,伦敦机场,2,
LHR,伦敦,伦敦机场,伦敦机场,2,
KIX,大阪,大阪关西机场,大阪关西,2,
ALA,阿拉木图,阿拉木图机场,阿拉木图机场,2,
FRU,比什凯克,伏龙芝机场,伏龙芝机场,2,
NRT,东京,东京成田机场,东京成田,2,
TBS,第比利斯,第比利斯机场,第比利斯机场,2,
ICN,仁川,仁川机场,仁川机场,2,
BES,布雷斯特,布雷斯特机场,布雷斯特机场,2,
CDG,巴黎,巴黎戴高乐机场,戴高乐机场,2,
NAN,楠迪,楠迪机场,楠迪机场,2,
CAN,广州,广州白云机场,广州白云,2,
CTU,成都,成都双流机场,成都双流,2,
FOC,福州,福州长乐机场,福州长乐,2,
DLC,大连,大连周水子机场,大连周水子,2,
HAK,海口,海口美兰机场,海口美兰,2,
PEK,北京,北京首都机场,北京首都,2,
PVG,上海,上海浦东机场,上海浦东,2,
NAY,北京,北京南苑机场,北京南苑,2,
HGH,杭州,杭州萧山机场,杭州萧山,2,
KMG,昆明,昆明长水机场,昆明长水,2,
NKG,南京,南京禄口机场,南京禄口,2,
TAO,青岛,青岛流亭机场,青岛流亭,2,
SZX,深圳,深圳宝安机场,深圳宝安,2,
SHE,沈阳,沈阳桃仙机场,沈阳桃仙,2,
SHA,上海,上海虹桥机场,上海虹桥,2,
TNA,济南,济南遥墙机场,济南遥墙,2,
WUH,武汉,武汉天河机场,武汉天河,2,
XMN,厦门,厦门高崎机场,厦门高崎,2,
XIY,西安,西安咸阳机场,西安咸阳,2,
