77 ,DH8,DH8 32-78 德.哈维兰公司DHC-8 冲8  ,3
78 ,D1C,D1C 229-357 波音公司{道格拉斯}DC-10-30/40（客机）  ,1
79 ,D1F,D1F 波音公司{道格拉斯}DC-10货机  ,1
80 ,D1M,D1M 195-235 波音公司{道格拉斯}DC-10混合机  ,1
81 ,D10,D10 229-374 波音公司{道格拉斯}DC-10(客机）  ,1
82 ,D11,D11 237-374 波音公司{道格拉斯}DC-10-10/15（客机）  ,1
83 ,D28,D28 19-N/A 仙童多尼尔公司228  ,1
84 ,D3F,D3F 波音公司{道格拉斯}DC-3货机  ,1
85 ,D38,D38 32-N/A 仙童多尼尔公司328  ,3
86 ,D6F,D6F 波音公司{道格拉斯}DC-6A/B/C  ,1
87 ,D8F,D8F 50-73 波音公司{道格拉斯}DC-8 50-73货机  ,1
88 ,D8M,D8M 118-N/A 波音公司{道格拉斯}DC-8 混合机  ,1
89 ,D8X,D8X 波音公司{道格拉斯}DC-8-61/62/63 Frtr  ,1
90 ,D8Y,D8Y 波音公司{道格拉斯}DC-8-71/72/73 Frtr  ,1
91 ,D9F,D9F 波音公司{道格拉斯}DC-9货机  ,1
92 ,D9S,D9S 84-139 波音公司{道格拉斯}DC-9-30/40/50  ,1
93 ,D91,D91 60-90 波音公司{道格拉斯}DC-9-10/15客机  ,1
94 ,D92,D92 75-90 波音公司{道格拉斯}DC-9-20  ,1
95 ,D93,D93 84-115 波音公司{道格拉斯}DC-9-30客机  ,1
96 ,D94,D94 100-128 波音公司{道格拉斯}DC-9-40客机  ,1
97 ,D96,D96 107-139 波音公司{道格拉斯}DC-9-50客机  ,1
98 ,EMB,EMB 15-21 巴西EMBRAER公司 110BANDEIRANTE,3
99 ,EMJ,EMJ 70-110 巴西EMBRAER公司 170/190  ,1
100 ,EM2,EM2 26-35 巴西EMBRAER公司 120 BRASILIA  ,1
101 ,EQV,EQV 各种机型  ,1
102 ,ERD,ERD 44-N/A 巴西EMBRAER公司 RJ140  ,1
103 ,ERJ,ERJ 37-50 巴西EMBRAER公司 RJ135/140/145  ,3
104 ,ER3,ER3 37-N/A 巴西EMBRAER公司 RJ135  ,1
105 ,ER4,ER4 50-N/A 巴西EMBRAER公司 RJ145  ,1
106 ,E70,E70 70-78 巴西EMBRAER公司 170  ,1
107 ,E95,E95 106-116 巴西EMBRAER公司 195  ,1
108 ,FA7,FA7 70-80 仙童多尼尔公司 728JET  ,1
109 ,FK7,FK7 40-48 仙童多尼尔公司 FH-227  ,1
110 ,FRJ,FRJ 32-34 仙童多尼尔公司 328JET  ,1
111 ,F21,F21 60-70 福克F28-1000法拉斯帕  ,1
112 ,F22,F22 70-79 福克F28-2000法拉斯帕  ,1
113 ,F23,F23 65-70 福克F28-3000法拉斯帕  ,1
114 ,F24,F24 68-85 福克F28-4000法拉斯帕  ,1
115 ,F27,F27 40-60 福克F27法拉斯帕/仙童多尼尔公司F27  ,1
116 ,F28,F28 60-85 福克F28法拉斯帕  ,1
117 ,F50,F50 46-60 福克50  ,1
118 ,F70,F70 75-79 福克70  ,1
119 ,GRG,GRG 9--10 格鲁门G-21（水陆两用）  ,1
120 ,GRJ,GRJ 14-19 格夫斯姆宇航公司 格夫斯姆2/3/4/5  ,1
121 ,GRM,GRM 10--14 格夫斯姆G-73 MALLARD （水陆两用）  ,1
122 ,GRS,GRS 27-44 格夫斯姆宇航公司 格夫斯姆 1  ,1
123 ,HEC,HEC 荷里欧H250快速/H295/395超速  ,1
124 ,HOV,HOV 水翼飞机  ,1
125 ,HS7,HS7 40-58  ,1
126 ,HS7,HS7 7--14 英国宇航公司(HAWKER SIDDELEY) 748  ,1
127 ,H25,H25 316-350 英国宇航公司 (HAWKER SIDDELEY) 125  ,1
128 ,ILW,ILW 132-195 伊柳辛设计集团 IL-86  ,1
129 ,IL6,IL6 伊柳辛设计集团 IL-62/62M/62MK  ,1
130 ,IL7,IL7 100-122 伊柳辛设计集团 IL-76 货机  ,1
131 ,IL8,IL8 235-350 伊柳辛设计集团 IL-18  ,1
132 ,IL9,IL9 64-N/A 伊柳辛设计集团 IL-96 客机  ,1
133 ,I14,I14 16-29 伊柳辛设计集团 IL-114  ,1
134 ,JST,JST 16-19 英国宇航公司 喷气机 31/32/41  ,1
135 ,J31,J31 16-29 英国宇航公司 喷气机 31  ,1
136 ,J32,J32 25-29 英国宇航公司 喷气机 32  ,1
137 ,J41,J41 86-104 英国宇航公司 喷气机 41  ,1
138 ,LOE,LOE 洛克西德公司 L-188 ELECTRA （客机）  ,1
